ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
0,Which list shows the following number in order from highest to lowest?,C, 235  237  254  276 , 237  276  235  254 , 276  254  237  235 , 276  254  235  237 ,Ordered least to greatest,Ordered greatest to least by ones place.,"Correctly ordered the values from greatest to least: 276, 254, 237, 235.",Switched last 2 numbers.
1,"Which is another way to represent 2,819?",B," 2,000 + 80 + 10 + 9 "," 2,000 + 800 + 10 + 9 "," 2,000 + 8,000 + 10 + 9 "," 2,000 + 800 + 100 + 90 ",Extends tens place to the 8.,Place values are correct.,Misrepresents the place value of 8 as thousands instead of hundreds.,Misrepresents the place value of 1 as hundreds instead of tens
2,"Which is another representation for 3,236?",D, 3 + 2 + 3 + 6 , 32 + 36 , 300 + 236 ," 3,000 + 236 ","Uses only ""+"" between all of the digits and does not consider place value. ","Uses ""+"" between 2 sets of the digits and does not consider place value.","Omits zero after ""3"" to make ""300"", not ""3,000""",
3,A series of numbers is shown: 18  25  32  39  _  _. Can you determine the value of the sixth number in this series?,B,46,53,57,60,Chooses the 5th number in the sequence.,39 + 2*7 = 53,Chooses the 2nd and 3rd terms added together. 25 + 32 = 57,Chooses the 7th number in the sequence.
4,Mia baked cookies from 2:45 p.m. to 3:22 p.m. How many minutes did Mia spend baking?,B,23 minutes,37 minutes,67 minutes,77 minutes,Calculates 45 - 22 = 23,15 + 22 = 37,Calculates 45 + 22 with no carrying from the ones to tens place.,Calculates 45 + 22 = 77
5,Tom watched a movie from 11:50 a.m. to 1:05 p.m. How long did he spend watching the movie?,A,1 hour 15 minutes,1 hour 45 minutes,2 hours 15 minutes,2 hours 45 minutes,10 + 5 and 1 hour = 1 hour and 15 minutes,Calculates 50 - 5 = 45 and 1 hour from noon to 1:00.,Calculates 2 hours from 11:00 to 1:00.,Calculates 50 - 5 = 45 and 2 hours from 11:00 to 1:00.
6,"Which is another way to show 4,810?",D, 48 hundreds + 1 one , 4 hundreds + 8 tens + 1 one , 4 thousands + 8 hundreds + 1 one , 4 thousands + 8 hundreds + 1 ten ,Considers 1 to be in the ones place rather than the 10s place.,Shifts all digits by a factor of 10.,Considers 1 to be in the ones place rather than the 10s place. ,"Correctly expanded 4,810 to 4 thousands + 8 hundreds + 1 ten."
7,Which list arranges the following number in order from smallest to largest?,D,489  498  984  849,984  498  849  489,849  984  489  498,489  498  849  984,Ordered the first 2 numbers.,Ordered by ones place.,Ordered by tens and ones.,"Correctly ordered the values from least to greatest: 489, 498, 849, 984."
8,Which geometric shape has 6 angles?,A,Hexagon,Octagon,Pentagon,Rhombus,A hexagon has six angles.,An octagon has 8 angles.,A pentagon has 5 angles.,A rhombus has 4 angles.
9,Alex started swimming practice at 11:55 a.m. He practiced for 1 hour 25 minutes. What time did Alex finish practice?,C,12:20,12:30,1:20,1:30,Added only 25 minutes to 11:55.,Calculated 11 + 1 = 12 and 55 - 25 = 30 for 12:30.,11:55 + 25 minutes + 1 hour = 1:20,Determined the correct hour but used 55 - 25 = 30 to find 1:30.
10,Emily began walking to the park at 4:45 p.m. She arrived at the park at 5:10 p.m. How long did it take her to walk to the park?,C,10 minutes,15 minutes,25 minutes,35 minutes,Only accounted for time from 5:00 to 5:10.,Only accounted for time from 4:45 to 5:00.,15 minutes from 4:45 to 5:00 and 10 minutes from 5:00 to 5:10.,Calculates 45 minutes - 10 minutes = 35 minutes.
11,Which combination of coins can you use to make up to 25 cents?,A,1 nickel and 2 dimes,6 nickels,5 pennies and 4 dimes,5 pennies and 2 quarters,10 + 10 + 5 = 25,Multiplies number of coins with value of coin. 6 * 5 cents = 30 cents,Miscalculates the value of dimes and nickels.  5 + 4 * 10 = 45,Miscalculates the value of dimes and quarters. 5 + 2 * 25 = 55
12,A sequence of numbers is shown: 51  43  35  27  _  11. Which number is in the missing entry?,C,15,16,19,26,Subtracts 12.,Subtracts 11.,"Identified the pattern as subtract 8, then found 27 - 8 = 19.",Subtracts 1.
13,A sequence of number is provided. 2  9  16  23  30  _. What number should be filled in the blank?,C,31,32,37,41,Chooses next number after 30.,Adds 1st number in pattern (2) to 30.,30 + 7 = 37,Adds 30 + (2 + 9) = 30 + 11 = 41.
14,Jen finished drawing at 4:22 p.m. She had been drawing for 36 minutes. What time did Jen start drawing?,A,3:46,3:58,4:14,4:48,36 - 22 = 14; 4:00 - 14 minutes = 3:46,Adds 36 + 22 = 58; uses hour before 4:00.,Solve for minutes then adds. 36 - 22 = 14; 4:00 + 14 minutes = 4:14,Calculates 26 minutes after 4:22.
15,"A train departs at 1:14 p.m. It travels for 42 minutes, then stops for 7 minutes. It travels for 1 hour 6 minutes before reaching its destination. What time does the train arrive at the station?",D,1:55,2:09,2:41,3:09,Calculates 42 + 7 + 6 + 1 hour = 1:55.,Did not account for an extra hour.,Calculates total time 1:55 + 1 hour - 14 minutes = 2:41.,1:14 + 42 + 7 + 6 + 1 hour = 3:09
16,Emma collects 95 cents in nickels. How many nickels does she have?,C,9,15,19,45,"Considers the ""9"" first digit in ""95"".","Calculates 95 = 50 + 45; 50/5 = 10 and uses ""5"" from ""45"".",95 / 5 = 19,Calculates 95 = 50 + 45; 9 * 5 = 45.
17,"Katie gives a customer 45 cents in change. How many coins should she give, using the fewest coins possible?",A,3,4,5,9,2 dimes & 1 quarter,"Calculates 45 cents = 1 dime, 2 nickels, and 1 quarter.",Calculates 45 cents = 4 dimes and 1 nickel.,Calculates 45/5 = 9; 9 nickels.
18,Amy has 301 coins. She loses 29 coins. Then she gives 13 coins to Peter. How many coins does Amy have now?,A,259,285,315,343,301 - 29 - 13 = 259,Only subtracts the blocks she loses. 301 - 29 + 13 = 285,Adds the blocks she loses. 301 + 29 - 15,Adds all values. 301 + 29 + 13 = 343
19,"At the park, 5 kids collect 5 stones each. What is the total number of stones the 5 kids collect?",D,5,10,15,25,Selects the number of friends or the number of pencils.,Adds number of friends and number of pencils. 5 + 5 = 10,"Adds number of friends twice and number of pencils. 3 ""5""s in question; 5 + 5 + 5 = 15",5 * 5 = 25
20,Consider the sequence of numbers shown. 3  15  27  39  _  _. What are the next two values in this sequence?,C,41  43,41  53,51  63,61  73,Adds 2 each time.,Adds 2 then 12.,The rule is add 12.,"Adds first term incorrectly. (+22, then +12)"
21,A mathematical equation is shown. 7 _ 3 = 21. Which sign will make the equation correct?,C, + , − , × , ÷ ,7 + 3 = 10,7 - 3 = 4,7 * 3 = 21,7 /3 = 2 1/3
22,"Four people weighed their bags. Bag Weights: Amy - 374g, Jerry - 297g, Andy - 368g, Mitch - 381g. Who had the heaviest bag?",D,Amy,Jerry,Andy,Mitch,Chose first number listed.,Chose greatest value in tens place.,Chose greatest value in ones place.,Identified Mitch had the greatest number of pennies: 381.
23,A sequence is shown. 3  11  19  27  _  _. What number is the sixth in this sequence?,C,35,41,43,51,Chooses the next number in the pattern.,Adds 7 instead of 8. 27 + 7 + 7 = 41,The rule is add 8. 27 + 8 + 8 = 43,Chooses the seventh number in the pattern.
24,David has $1.00. He buys an apple for $0.62. What change should David receive?,B,"1 quarter, 1 dime, and 2 pennies","1 quarter, 1 dime, and 3 pennies","1 quarter, 1 dime, and 2 nickels","1 quarter, 2 dimes, and 3 pennies",Calculated change to be $0.37.,1.00 - 0.62 = 0.38,Miscounted value of coins.,Calculated change to be $0.48.
25,Ben buys a comic book for $0.58. He hands the cashier $0.75. What change should Ben receive?,A,"2 pennies, 1 nickel, and 1 dime",1 nickel and 2 dimes,2 pennies and 1 quarter,"3 pennies, 1 nickel, and 2 quarters",75 - 58 = 17,Subtracts $0.50 instead of $0.58.,Does not count borrow in subtraction.,Calculates the change for $0.58.
26,"At the start of a book fair, there were 3 types of books. 18 mystery books, 25 adventure books, and 32 fantasy books. At the end of the fair, 17 books were left. How many books were sold?",A,58,62,75,92,18 + 25 + 32 - 17 = 58,Does not subtract cookies left. 18 + 25 + 32 = 75; 70 -10 = 60; 7 -5 = 2; 60 + 2 = 62,Calculated total number of cookies.,Adds all values given. 18 + 25 + 32 + 17 = 92
27,"Emily biked for 3 days. 253 miles on Friday, 337 miles on Saturday, and 152 miles on Sunday. How many miles did Emily bike on Friday and Saturday?",C,438 miles,489 miles,590 miles,742 miles,Subtracted Sunday from total of Friday and Saturday. (253 + 337) - 152 = 438,Used total for Saturday and Sunday 337 + 152 = 489,253 + 337 = 590,Added all numbers in the stem. 253 + 337 + 152 = 742
28,Lily bought a chocolate bar for $0.57. She gave the clerk $1.00. How much change did Lily get back?,B,"3 pennies, 1 dime, and 1 quarter","3 pennies, 1 nickel, 1 dime, and 1 quarter",3 pennies and 2 quarters,"2 pennies, 1 nickel, and 2 quarters",Missing one nickel to get 38 cents.,1.00 - 0.57 = 0.43; 3 + 5 + 10 + 25 = 43,Adds extra 10 cents to get 53 cents.,Adds to a total of 57 cents.
29,Emma has 7 boxes of pencils. Each box contains 8 pencils. How many pencils does Emma have?,D,48,49,54,56,Calculates 6 * 8 = 48,Calculates 7 * 7 = 49,Miscounted and found 6* 9 = 54,7 * 8 = 56
30,What combination of coins adds up to a total of $0.75?,A,"1 quarter, 3 dimes, and 4 nickels","1 quarter, 4 dimes, and 1 nickel",5 dimes and 4 nickels,6 dimes and 1 nickel,25 + 30 + 20 = 75 cents,Calculates 25 + 40 + 5 = 70 cents.,Calculates 50 + 20 = 70 cents.,Calculates 60 + 5 = 65 cents.
31,Alex buys a cupcake that costs $0.40. He gives the cashier $1.00. What change should Alex receive?,D,1 dime and 2 nickels,"1 quarter, 1 dime, and 1 nickel",2 quarters and 1 nickel,2 quarters and 1 dime,Used 2 nickels instead of 2 quarters.,Used the cost of a pencil.,Determined a nickel was 10 cents rather than a dime.,Identified the correct change is 60 cents ($1.00 - 0.40 = 0.60). Determined 2 quarters and 1 dime equals 60 cents (0.25 + 0.25 + .10 = 0.60).
32,"A local animal shelter received donations of dog food. Dog Food Donations: Shelter 1 - Pounds Donated 2250, Shelter 2 - Pounds Donated 2150, Shelter 3 - Pounds Donated 3050, Shelter 4 - Pounds Donated 2350. Which shelter received the fewest pounds of dog food?",B,Shelter 1,Shelter 2,Shelter 3,Shelter 4,Chose first number in table.,Chose smallest number.,Chose smallest number in hundred’s place.,Chose last number in table.
33,Which is another representation to show 528?,B, 5 + 20 + 800 , 8 + 500 + 20 , 200 + 8 + 50 , 500 + 80 + 2 ,Switched place value of 8 and 5 for 825.,"Correct, 528.",Switched place value of 5 and 2 for value 258.,Switched place value of 8 and 2 for value 582.
34,"A baker must prepare 18 loaves of bread. It takes him 1 minute to knead the dough for 3 loaves. Which mathematical equation can be used to find m, the number of minutes the baker will need to prepare dough for all the loaves?",C, m ÷ 3 = 18 , m ÷ 18 = 3 , 3 × m = 18 , 18 × m = 3 ,The number of minutes / words per minute does not equal total words.,The number of minutes / total words does not equal words per minute.,3 words per minute *number of minutes = 18 total words.,The number of total words * number of minutes does not equal words per minute.
35,Which number has a 6 in the thousands place and an 8 in the tens place?,D,"54,698","65,489","86,945","96,584",Considers 6 in the hundreds place and 8 in the ones place.,Considers 6 in the ten thousands place and 8 in the tens place. ,Considers 8 in the ten thousands place and 6 in the thousands place.,"Correctly identified 96,584 as having an 8 in the tens place and a 6 in the thousands place."
36,"The tallest tree in the forest is 2,425 feet tall. Which is another way to write 2,425 feet?",D, 2 + 4 + 2 + 5 ," 2,000 + 4 + 2 + 5 "," 2,000 + 40 + 20 + 5 "," 2,000 + 400 + 20 + 5 ",Separated the digits without considering place value.,Did not consider place values after the thousands place.,Omitted a 0 in 400.,"Correctly wrote 2,425 in expanded form of 2,000 + 400 + 20 + 5."
37,A cargo ship can carry up to 128 containers. Which is another way to write 128?,B, 1 + 2 + 8 , 100 + 20 + 8 , 100 + 200 + 8 ," 1,000 + 28 ",Separated the digits without considering place value.,Correctly expanded 128 as 100 + 20 + 8.,"Added extra ""0"" with ""20""","Added extra ""0"" with ""100"""
38,Sarah draws a shape with 4 equal sides and 4 equal angles. What is the name of this shape?,C,Hexagon,Octagon,Rhombus,Trapezoid,Chooses an incorrect shape.,Considers 4 + 4 = 8.,Recognized that a square is a special rhombus.,Did not consider equal sides or equal angles.
39,A farmer has 56 apples to divide evenly among 7 baskets. Each basket will hold the same number of apples. What equation can be used to find the number of apples in each basket?,C, 7 + _ = 56 , 7 + 56 = _ , 7 × _ = 56 , 7 × 56 = _ ,7 rows + the number of seats per row does not equal 56 total seats.,7 rows + 56 total seats does not equal number of seats per row.,7 rows times number of seats per row equals total number of seats.,7 rows * 56 total seats does not equal the number of seats per row.
40,What is another way to show the number eight thousand eighty-eight?,A," 8,000 + 80 + 8 "," 8,000 + 800 + 8 "," 8,000 + 800 + 80 "," 8,000 + 800 + 80 + 8 ","8,088","Considered 800 to be 80 for the value 8,808","Considered 80 to be 8 for the value 8,880.","Considered an 8 in each place for the value 8,888."
41,Which number is equal to five thousand nine hundred nine?,B,"5,099","5,909","5,990","5,999",Used 90 instead of 900.,"Correctly wrote the written form of five thousand nine hundred nine in standard form 5,909.",Used 90 instead of 9.,Included an extra 90.
42,"Which is another way to represent 3,566?",D,Three and five hundred sixty-six thousand,Thirty-five thousand sixty-six,Three thousand sixty-six,Three thousand five hundred sixty-six,"Wrote out the number without correct place value. 3 + 500 + 66,000","Wrote out the number without correct place value. 35,066","Did not consider the five hundred. 3,066","Correctly wrote 3,566 in written form of three thousand five hundred sixty-six."
43,There are 8 chocolate bars. Four friends share the bars equally. What fraction of the bars does each friend get?,A, 2/8 , 4/8 , 6/8 , 8/4 ,2 chocolate bars per friend / 8 total chocolate bars.,Chooses 4 friends / 8 total chocolate bars.,Calculates (8 - 8/4)/8 = (8 - 2) /8 = 6/8.,Chooses 8 total chocolate bars / 4 friends.
44,"A pentagon has a perimeter of 19 cm. The pentagon contains four sides with lengths of 4 cm, 4 cm, 3 cm, 3 cm. What is the length of the remaining side?",B,3 cm,5 cm,7 cm,14 cm,Chooses to use one of the given side lengths.,19 - (4 + 4 + 3 + 3) = 19 - 14 = 5,Calculates the sum of 2 given sides. 4 + 3 = 7,Does not subtract sum from 19. 4 + 4 + 3 + 3 = 14
