MisconceptionId,MisconceptionName
1672,"Confuses the order of operations, believes addition comes before multiplication "
847,Thinks they can convert a 2 digit percentage to a fraction by writing one number over the other.
2133,"When dividing a decimal by a multiple of 10, just divides the fractional place values "
1889,Believes f(x - a) translates the function up a units
1234,Believes f(x + a) translates the function up a units
1588,Thinks only angles on parallel lines can be alternate
2179,Assumes that an arrow on a number line starts at zero
1916,"When subtracting fractions, subtracts the numerators and multiplies the denominators"
2147,Believes they should multiply each numerator by its original denominator when adding/subtracting fractions
2474,Confuses the square root of the radius with the radius squared in the equation of a circle
1944,Confuses the radius with the radius squared in the equation of a circle
98,Incorrectly clears fractions from equations
218,Does not interpret a sloping gradient as a change in rate
961,Does not spot the difference between a gradual change of gradient and 2 distinct line segments with different constant gradients
2021,Does not recognise when a fraction can be simplified
1958,"Believes the smaller number is always subtracted from the larger, regardless of the order of the calculation"
959,Believes it is impossible to subtract a bigger number from a smaller number
182,Believes parallel lines have gradients of opposite signs
1461,Believes parallel lines have gradients that multiply to give -1
630,Does not know parallel lines have equal gradients 
646,Confuses scalene and right angle triangles
944,"When dividing involving a power of 10, gives an answer 10 times bigger than it should be"
544,When dividing a decimal by a power of 10 adds zeroes to start of the number ignoring the placement of the initial decimal point
964,"When dividing involving a power of 10, gives an answer 10 times smaller than it should be"
1734,Thinks that we can remove a division symbol and just write the variables next to each other
499,Does not realise ratio in worded problem can be simplified
2178,Believes mixed numbers cannot be simplified
1068,Believes the fx column for calculating mean is value + frequency
352,Believes the fx column for calculating mean is value - frequency
2159,Believes the fx column for calculating mean is value/frequency
1894,Confuses the part and the whole in missing number subtraction problems
1751,Does not realise we can borrow from the preceding digit in a subtraction problem
882,Believes 0 has no square root
2023,Thinks when finding a percentage you divide by the percentage being asked
2083,Thinks y =1 is the y axis
272,When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2
2397,Does not realise we can find a missing length if we know the base of a parallelogram and its area. 
1771,Believes the solution of a quadratic inequality is always the interval between the roots
1590,Believes any two inequalities can be combined into a double inequality
1468,Orders integers based on first digits without taking into account place value
1744,Rounded to nearest 100 instead of 1sf
2091,Thinks depth always goes front to back in a diagram of a 3D shape
2218,Assumes that opposite angles are equal in a quadrilateral
460,"Believes the graph of x squared + c has the turning point of (-c, 0)"
492,"Believes the graph of x squared + c has the turning point of (c, 0)"
290,Thinks a decreasing sequence cannot be quadratic
372,"In ratio question where the difference between the sides is given, uses that as the total"
532,Confuses alternate and opposite angles
463,Reads the complement of what is required from a pie chart
1396,Finds a percentage when asked for a fraction
1326,Does not know the meaning of square sign for right angle
867,When finding the area of a parallelogram does not understand which lengths to use
695,Has found the area of a triangle rather than an area of a parallelogram
1362,Believes that the angle on a pie chart is the frequency multiplied by 10
1008,"When dividing an integer by a fraction, thinks they multiply numerator and denominator by the integer"
839,"When dividing by a non unit fraction, thinks you multiply by the reciprocal of the corresponding unit fraction rather than the fraction given. "
851,Thinks a negative x value in a column vector means to move right rather than left 
2173,Does not realise that division can be used to find the missing value in a multiplication problem
1600,Thinks a lower average means the data is more consistent
1923,Thinks a greater range means more consistent data
880,Thinks a higher average means more consistent data
1425,Believes two lines of the same length are parallel
2475,"When finding the nth term rule for a quadratic sequence, believes they only need to use the first term to calculate the coefficient of n "
1406,Does not recognise that interior and exterior angles are supplementary
405,Believes the only way to find the interior angle of a regular polygon is to subtract the exterior angle from 180.
1724,"When completing the square, believes that a is always half the x-coefficient. "
1714,"When completing the square, believes the constant in the bracket is the square root of the coefficient of x"
271,Believes triangle numbers are formed differently to the correct way
1915,When multiplying mixed numbers thinks they add the integers
1637,Has used the decimal point to separate numerator and denominator
1424,Thinks numbers greater than 1 cannot be converted into fractions
1169,Does not know that cubic means the same as cubed in units
322,Believes that rounding must change the number
1277,"In algebra, thinks it's ok to write (for example) 0x rather than just 0"
1093,Has multiplied the value of the first term by the the term being asked
2068,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term

"
521,"When asked to triple, writes the digit out three times"
2163,Attempts to simplify ratio by subtracting from both sides
1350,"When simplifying a ratio, divides one side of the ratio but multiplies the other side."
1009,Does not know the meaning of bisect
863,Believes inequalities can only include integers
742,Believes solving an inequality gives a single value as a solution
2126,Miscounts when subtracting over zero
1561,Believes the mean is total frequency divided by something
1526,Believes that they only need to write non-zero digits when giving a number in digits
1525,Confuses written 'teen' numbers with their corresponding multiples of 10
2329,Thinks the remainder is the difference between the dividend and the next biggest multiple
1437,Assumes the fractional index denotes the root and power the other way around
88,Believes parallelogram is the term used to describe two lines at right angles
813,Believes parallel is the term used to describe two lines at right angles
2453,Believes particular is the term used to describe two lines at right angles
1230,Believes you cube the conversion factor when dealing with squared units
1263,Does not understand the definition of a rational number when it is a surd
874,Mistakes the place value column of hundred thousands with millions
2327,Does not understand that a space can be used to separate the thousands column from the hundreds column
2320,Subtracts rather than divides when scaling down in direct proportion problems
901,Finds unit price but doesn't multiply up for number in question
1995,Mixes up shortest and longest when ordering times
1557,Has an incorrect assumption about the definition of a reciprocal
1860,Believes a reciprocal graph can be a straight line
36,Enlarges by the wrong centre of enlargement
1726,Believes there is more than one line which passes through a given pair of points
1656,Believes that one point is enough to specify a line
1596,Has found the total as a percentage of the amount being asked
2551,Believes range does not need units
1222,Forgets the denominator in probability
1145,"When adding column vectors, multiplies rather than adds"
951,Only recognises the positive form of a quadratic graph
1806,Only recognises the negative form of a quadratic graph
1158,Believes you can go above an amount of money when finding how much of something you can buy
533,Does not consider the variable when evaluating an expression that requires substitution.
531,Thinks when finding a percentage you multiply by the percentage being asked
2009,"Assumes they add all values in a worded problem, thereby not interpreting the problem correctly"
1787,"When talking about money ""taken"" in a retail context, thinks that means take-away rather than add"
694,Confuses cubic and quadratic graphs
1460,Identifies second decimal place value when asked for the second significant figure
1420,"Believes that when eliminating a variable, regardless of the signs of the terms with matching coefficients, we subtract the equations"
893,"Believes when changing an improper fraction to a mixed number you divide the numerator by 10, regardless of the denominator"
1492,Believes the whole and remainder are the other way when changing an improper fraction to a mixed number
20,Believes the number of wholes in a mixed number multiplies by the fraction part
737,Thinks there are 30 minutes in a hour
307,"When using Pythagoras to find the height of an isosceles triangle, uses the whole base instead of half"
2473,Has cubed the base number and the power
1921,Does not understand laws of indices
364,Thinks they just remove the decimal point when converting a decimal to a percentage
2241,Confuses triangular prism with pyramid
9,Thinks there are 180 degrees in a full turn
1278,Believes the subscript in iteration notation is the value to be substituted
1418,"When the dividend is a mixed number and the divisor is an integer, thinks they only perform the calculation with the integers."
983,"When the dividend is a mixed number and the divisor is an integer, thinks they only divide the fraction by the integer."
1373,Does not recognise a unit of time
350,Forgets to carry the tens when doing column multiplication
1334,Tries to multiply within place value columns during column multiplication
1135,"When subtracting a negative number, adds the absolute values and then writes the answer with a negative sign"
1790,Does not know the correct notation for labelling a side length
829,Estimates angle rather than calculating
1610,Misunderstands the concept of common factors in algebra
1516,Performs addition ahead of any other operation
469,Believes the position of a sequence cannot be an integer
1354,Does not know how to calculate the position of a term in a sequence
1082,"When multiplying with negative numbers, assumes any negative sign can be ignored"
715,Removes the common denominator when making equivalent algebraic fractions
2187,"When multiplying a decimal less than 1 by an integer, gives an answer 100 times smaller than it should be"
1257,Assumes a 1/4 of a whole is 25
1963,Performs subtraction right to left if priority order means doing a calculation to the right first
1932,Counts partial symbols as if they were whole on pictograms
503,Ignores partial symbols on pictograms
6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator
1440,Believes 180 degrees is an obtuse angle
2239,Thinks there are 50 weeks in a year
1800,Believes multiplying two positives gives a negative answer
604,Gives probability as an integer instead of a fraction
909,Mixes up squaring with dividing by 2
158,"Believes addition comes before indices, in orders of operation"
1444,Does not understand that the negative outside the bracket means answer will be negative
572,Writes repeated letters instead of using index form of a variable
1175,Uses base instead of height as h in area of a trapezium formula
1779,Does not recognise that a shape translated would not change orientation
821,Mistakes rotations for translations
181,Assumes a ratio is part to part instead of part to whole
2368,Converts a fraction to a percentage by placing a decimal point between the numerator and denominator
664,"Believes -a is always smaller than a, ignoring the possibility that a is negative"
1363,Uses 2 letters to describe an angle
1864,Does not realise that the order is important in a ratio
210,Thinks the term in a sequence is double the position value
1793,Does not count end number when counting
2351,Believes to find the angle for a pie chart sector you calculate 360 divided by the frequency of that sector
1846,Is not able to spot a proportional relationship pictorially unless they are laid out in groups
1959,Does not know that a solid is a 3D shape
1083,Does not know the meaning of uniform cross section
185,Thinks a positive y value in a column vector means to move down rather than up 
1663,Thinks halving is the same as multiplying by 2
278,Believes a power of 2 has no impact on its value
1099,Believes gradient at a point = y coordinate/x coordinate
2263,Does not understand the root power of 4
782,Mixes up quantitative and qualitative data types
1327,Does not know the meaning of attribute data
1845,"When multiplying involving a multiple of 10, just multiplies the digits and ignores the zeros "
2508,Thinks x = ? is the y axis
26,Thinks x = ? or y = ? is y = x
2443,Thinks y = ? is the x axis
2547,Multiplies instead of divides when division is written as a fraction
2520,Believes the fraction line represents addition
493,Thinks you add the number of wholes to the numerator when converting a mixed number to an improper fraction.
1431,"Believes you add the whole to the numerators, ignoring denominators, when adding a mixed number to a proper fraction with the same denominator."
315,Has not realised that the answer may be changed by the insertion of brackets
260,Thinks cubing a number means adding 3 to that number
600,Thinks a horizontal line on a distance time graph means a distance of 0
1598,Believes the solution to an equation with matching coefficients of variables on both sides will always be 0
1302,"In ratio question where the difference between the sides is given, uses that as one part without dividing"
169,"When subtracting a fraction from a mixed number, assumes they just subtract the numerator from the integer of the mixed number"
1166,"When subtracting a fraction from a mixed number, assumes they subtract the numerator from the integer and the numerator of the mixed number"
1871,"Thinks factorising a quadratic means factorising the variable terms into a single bracket, and leaving out the constant"
2510,Only reads the percentage symbol as applying to the units digit
1469,Does not recognise when simplifying a fraction may be helpful
588,Thinks 10l = 1 cubic metre
338,Believes only straight lines count as edges on 3D shapes
1608,Believes parts of a 3D diagram that look straight class as edges
1624,Multiplies the number of whole units by the numerator when converting from a mixed number to an improper fraction
1261,Thinks if you multiply a fraction by itself you get a whole
2098,Multiplies all terms together when simplifying an expression
1696,Heads towards zero when subtracting from a negative
326,"When converting fractions to ratios, puts the other side of the ratio as the total of the numerator and denominator"
1048,"When adding/subtracting fractions, adds/subtracts the denominators and multiplies the numerators"
1985,Has multiplied base by slant height and perpendicular height to find area of a triangle
1333,Halves base but still divides product by 2 when finding area of a triangle
2499,Thinks the interior angles of any polygon add up to 180 degrees
940,When writing a function as a function machine confuses the input and the output.
251,"Includes a data point with the value, when asked to find the number of data points below a value"
