MisconceptionId,MisconceptionName
8,Student thinks that any two angles along a straight line are equal
11,"When reading value from graph, reads from the wrong axes."
15,"Confuses the order of operations, believes addition comes before division"
22,Confuses the ten thousands and thousands place value columns
28,Thinks the interior angles of any polygon add up to 360
29,Forgot to simplify the fraction
31,Does not understand bar modelling in algebra
38,Believes the sides of an inequality can be switched without changing the direction of the sign
55,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored "
57,Believes the solution to mx + c = a is the x intercept of y = mx +c
61,Multiplies by 10 instead of 100 when converting decimal to percentage
68,Confuses a term with an equation
71,Multiplies all given dimensions when calculating an area
77,"Does not follow the arrows through a function machine, changes the order of the operations asked."
78,"When multiplying a fraction by an integer, multiplies the denominator instead of the numerator"
81,Thinks you subtract rather than add when finding the previous term in a descending linear sequence
82,Believes the square of a negative will also be negative
83,Confuses the meaning of perpendicular and vertical 
85,Does not remember that a rhombus has equal sides
91,"When asked for factors of an algebraic expression, thinks any part of a term will be a factor"
105,Mixes up sides of a ratio
106,Believes an arrowhead has four equal sides
107,"When expanding brackets, multiplies out the first term correctly but adds together the number outside the bracket with the second term inside the bracket."
108,Uses only the first two terms of a sequence to work out a term-to-term rule
110,Does not know how to find the length of a line segment from coordinates
111,Does not work out all possibilites when given an 'at least' question in probability
113,Does not recognise difference of two squares
114,Does not know the meaning of the word parallel
118,"Given a line segment with a midpoint that is not the origin, assumes that the two end points will still have the same absolute value"
120,Does not understand equivalent fractions
126,Multiplies rather than adds when given the command word 'more'
131,Does not think a number can be a factor of itself
134,Misreads scale
142,"When given a linear sequence, cannot match it to a visual pattern"
143,"Thinks that when you cancel identical terms from the numerator and denominator, they just disappear"
146,Has multiplied by the root power
151,"When dividing decimals, does not realize that the order and position of the digits (relative to each other) has to remain constant."
159,Does not divide by 2 when calculating the area of a triangle
161,Answers as if there are 100 minutes in an hour when changing from hours to minutes
164,Does not reduce the denominator when an item is not replaced in a probability question
167,Does not recognise factorising a quadratic
172,"When subtracting fractions, subtracts the numerators and denominators"
186,Does not understand the meaning of the word commutative 
189,"When multiplying decimals, ignores place value and just multiplies the digits"
196,Confuses a variable with an equation
207,Confuses the terms faces and edges
212,Solves for y=0 instead of given y-value when reading from a quadratic graph
217,"When adding fractions, adds the numerators and denominators"
219,Does not know that a right angle is 90 degrees
220,Only multiplies the first term in the expansion of a bracket
224,Forgets to swap the sign of roots when placing into brackets
226,Thinks rectangles have line symmetry in the diagonals 
228,Divides rather than subtracts when given the command 'less than'
233,"Cannot estimate the relative volume order, for different objects"
234,Subtracts instead of adds
236,Thinks corresponding angles sum to 180 degrees
255,Does not know the meaning of the word regular 
256,Does not reverse the order of operations when solving an equation
261,When multiplying just writes the numbers next to each other
265,Does not realise a quadratic must be in the form ax^2+bx+c=0 to be factorised
267,Writes the variable before the coefficient in an algebraic term
268,Believes lines of reflection must be vertical or horizontal
282,Does not understand that a point on the line of reflection will stay the same when reflected 
295,Does not know the word and/or does not know the function of a compass
306,Added rather than multiplied by a scale factor
308,Believes that dividing by 100 gives 10%
317,"When multiplying fractions, adds the numerators and multiplies the denominators"
328,Performs addition ahead of multiplication
329,Does not understand a percentage is out of 100
331,Does not understand the term factor
332,Confuses reciprocal and quadratic graphs
339,"When dividing, ignores any remainders"
340,Does not understand that when multiplying both sides of an equation by an amount every term must be multiplied by the same amount
344,Does not understand that a probability of 0 represents something that is impossible
346,Does not understand how to multiply algebraic terms
357,Does not understand that in the ratio 1:n the total number of parts would be 1+n 
363,Only applies a division to one of multiple terms in a numerator when simplifying an algebraic fraction
373,Believes you can add or subtract from inside brackets without expanding when solving an equation
377,"When asked for the mean of a list of data, gives the mode"
378,"When finding the difference between two points on a time series graph, only uses one of the points. "
379,Finds the y intercept when asked to read the solution to a quadratic equation from a graph
380,Does not understand the first significant value is the first non-zero digit number
381,"When dividing a fraction by an integer, divides both the numerator and denominator by the integer"
384,"When solving simultaneous equations graphically, they think the solutions are the x-intercepts"
389,Combines variables with constants when writing a formula from a given situation
391,Mixes up the value of two terms when substituting
396,Does not recognise the height of a trapezium as the perpendicular length between the parallel sides
397,When calculating the range does not reorder the data to find the largest number minus the smallest number
401,"When given the equation of a straight line, believes the first term always gives the gradient, even when the first term is actually c"
414,Divides by the order of the root
415,Incorrectly identifies angles as vertically opposite
418,"Believes that when factorising a quadratic, they can choose any two numbers that add to give the coefficient of x"
421,Mixes up odd and even numbers
423,Does not know the meaning of equilateral
427,Answers as if there are 100 minutes in an hour when writing minutes as decimals
433,Believes a negative power results in a negative answer
436,Does not understand when like terms can be collected
438,Believes cubing a number means you multiply it by 3
443,Thinks there are 12 hours in 1 day
450,Confuses the terms faces and vertices
452,"When a variable in an expression has a power, thinks the power applies to the whole expression"
458,When finding an input of a function machine thinks you apply the operations given rather than the inverse operation.
470,Cannot reflect shape when line of symmetry is diagonal 
