MisconceptionId,MisconceptionName
1073,Believes if you add the same value to all numbers in the dataset the range will change
1818,Thinks you can find missing values in a given table by treating the row as linear and adding on the difference between the first two values given.
2123,Divided by 100 rather than 10
1312,Believes f(x) + a translates the function right a units
2156,Thinks alternate angles are always equal
2378,Divides total amount by each side of the ratio instead of dividing by the sum of the parts
616,Does not understand that 2n represents an even number
2130,"Does not know the meaning of the word ""sum"""
1408,Does not realise that adding a larger number gives a larger answer
2408,Does not realise that subtracting a larger number will give a smaller answer
2437,Believes a downward slope on a distance-time graph means travelling away
509,Believes speed is distance multiplied by time
878,"Counts on by 1, when asked to count forward/backwards in a step other than 1"
704,Thinks there are 10cm in a metre
347,"When solving an equation with a fraction, thinks you don't need to multiply every term on both sides when multiplying by the denominator "
1973,Divides instead of multiplies when converting a decimal to a percentage
1403,"When two digits multiply to 10 or more during a multiplication problem, does not add carried value to the preceding digit"
617,Does not apply the inverse function to every term in an expression
779,"When multiplying multiples of ten and the answer requires an extra digit, leaves off that extra digit"
1877,Thinks rectangles have rotational symmetry or order 4
2190,Denominator used for other parts rather than total parts
1104,Simplifies integers when simplifying a mixed number
975,"When solving an equation, multiplies instead of dividing "
2245,"When using the formula to solve a quadratic equation, believes that a, b and c are always taken from the 1st, 2nd and 3rd terms, respectively, of the quadratic. "
422,Thinks x = y is an axis
868,Believes a number raised to a power will always give a positive answer
925,Believes the gradients of perpendicular lines are reciprocals of the same sign
1835,When finding the area of a parallelogram finds base x perpendicular height but divides the answer by 2 
1918,Does not fully simplify ratio
312,"In ratio question where the difference between the sides is given, uses that as the total for one side instead"
337,Believes the solution of mx + c = a is x =a
545,"When given the perimeter of a regular polygon, multiplies instead of divides to find each side length"
1815,"When given the perimeter of a regular polygon, subtracts instead of divides to find each side length"
398,Does not know that we can use the conservation of perimeter to find missing lengths
669,Has used slant height and base to find area of a parallelogram rather than perpendicular height and base
132,Only considers the positive solution when calculating a square root
1445,Believes you find the angle for a pie chart sector by doing its frequency multiplied by total frequency
486,Does not square the conversion factor when converting squared units
1324,"When solving an equation, believes that when they get to ax = b, b is the solution"
1648,Believes dividing two positives will give a negative answer
1213,"When finding the differences between terms in a sequence, believes they can do so from right to left "
1360,"When solving an equation, multiplies instead of adding"
2563,Believes to complete a part whole model you select a value already given in the model
191,Believes that product means add rather than multiply
1807,"When multiplying mixed numbers, forgets to multiply the fraction"
1523,Does not know how to say a fraction
