MisconceptionId,MisconceptionName
5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead"
7,Believes gradient = change in y
10,"Believes duration can be read from a timetable, rather than calculating from start and end times"
12,Thinks that the side view does not include the furthest rows back
13,"Does not subtract from the hours, when having to borrow for a time calculation"
17,Confuses AM and PM when calculating time
18,"Given the length of the sides, still does not recognise there is enough information to find the area"
24,Does not understand the term multiple
25,Does not realise that when you multiply by 0 the answer will always be 0
30,"When asked for a number n times smaller or bigger, subtracts or adds n"
40,Believes midpoint multiplied by frequency is equivalent to frequency density
41,Believes the mean is the number of categories given divided by something
43,Confuses the terms edges and vertices
46,Does not realise that division can be broken down into factors
50,"When given a non-unit fraction of an amount and asked to find the total, answers as if it had been the unit fraction"
53,Thinks circumference is radius x pi
56,Assumes a negative number is not rational
59,Cannot identify a common factor when simplifying algebraic fractions
62,Does not realise that a curved line represents a changing gradient
63,Believes 'data' and 'sample' are interchangeable
65,Cannot spot a variable within a written scenario
67,Divides by 1000 instead of 100 when converting a decimal to a percentage
69,"When given a non-unit fraction of an amount, treats it like a unit fraction"
72,Thinks a decimal can be written as a fraction by just writing it under a numerator of 1
73,Confuses a function with an expression
75,Believes that the directions of positive and negative vectors are the opposite way around.
79,Does not understand how to divide algebraic terms
80,Thinks you can ignore the variable when simplifying algebraic fractions
87,Does not know what an exterior angle is 
90,Does not understand place value after the decimal point
92,"When identifying the center of rotation, writes down the origin"
93,"When multiplying a surd of the form a✓b by an integer, believes the integer and the number under the surd are multiplied"
94,"When solving simultaneous equations, thinks they can add variables to one of the equations to make terms across the 2 equations identical"
96,Multiplies surds when asked to add
104,Assumes a sequence is linear
112,Thinks the difference between the numerator and denominator determines how close the fraction is to 1
115,Believes fraction to decimal conversion is done by writing the numerator as a decimal
116,Believes an outlier is determined by the number of decimal places a number has
121,Believes midpoint in grouped frequency table is found by multiplying midpoint by frequency
122,Thinks they can convert percentages to fractions by writing the percentage value as both the numerator and the denominator
124,Believes perpendicular bisectors is the term used to describe two lines that are parallel
125,Thinks the division sign means to add
128,Does not understand how to read both x and y coordinates
129,Believes they can change only one side of a ratio and it will remain equivalent
135,Thinks the value of an exterior angle is 360 degrees
139,Thinks triple means add three
140,Believes cumulative frequency is plotted at the lower bound of the class
144,Mixes up the x and y values of the coordinates
145,Does not know how to convert percentages with a decimal point into decimals
147,Multiplies instead of dividing when distributing a total amount
148,Confuses theoretical and experimental probability
149,Believes P(success) in probability notation means the number of successes
150,Confuses written 'teen' numbers with their corresponding single-digit number
155,Forgets to apply inverse trigonometric function when finding an angle
156,Confuses the graph of a linear equation with a quadratic equation
157,Believes squared units can be used to measure lengths
160,Believes that adding a positive to a negative makes your answer more negative
163,Thinks only one variable can introduce bias
165,"Believes that in y=mx+c, m is the x-intercept"
168,Believes composite function notation means to substitute the outer function into the inner function
170,Does not understand that when dividing both sides of an equation by an amount every term must be divided by the same amount
173,"Believes that if more than one number in a multiplication is divided by the same power of ten, the answer will be divided by the same power of ten. "
174,Confuses major and minor sector
175,"Thinks that when multiplying decimals (less than 1), the number will get bigger"
177,"When the change in value is greater than the original amount, thinks percentage change = original/change x 100"
178,Thinks that the 10 becomes a 20 when adding in standard form 
180,Writes the digit 3 times instead of cubing
184,Believes the space diagonal is the same length as the diagonal on the bottom face of a cuboid
188,Believes interquartile range is the difference between one of the quartiles and the minimum value
192,Does not know how to calculate the volume of a prism
193,Believes a cyclic quadrilateral can be self-intersecting
198,"When multiplying a decimal by a power of 10, just adds a zero to the end of the number, not changing the place value of the digits"
199,"Believes that when multiplying a number with a power, the multiplier is added onto the power"
200,"When solving simultaneous equations, thinks they multiply both equations by the LCM of the coefficients of the term being eliminated"
203,Thinks that dividing both numbers in a multiplication sum by the same power of 10 results in equal answers
204,Confuses scalene and equilateral triangles
206,Thinks a cylinder is a prism
208,Believes a composite function requires you to place the inner function next to the variable of the outer function instead of replacing it
209,"When multiplying a vector by a fraction, adds the numerator to the top number of the vector, and the denominator to the bottom number of the vector. "
214,Does not understand the 'less than' inequality notation
215,"When asked for a specific term in a sequence, just gives the position number"
216,Believes the smallest number in a set of numbers is always their highest common factor
222,Does not know the meaning of absolute value
225,Confuses frequency of one class with cumulative frequency
231,Thinks we can't write an equivalent multiplication sum for a division sum by using a reciprocal
235,Thinks adjacent angles are equal
237,Believes a line of best fit can be drawn on a scatter graph with no relationship or correlation
238,"When finding the mean of the data in a stem and leaf diagram, thinks you find the mean of the stem numbers"
240,"Misunderstands how to calculate the lower bound in a division, believes it is found by dividing both upper bounds"
241,Thinks co-interior angles sum to 360 degrees
243,Identifies a common factor but not the highest common factor
246,Does not think a kilogram is a unit of mass
250,Believes a fraction cannot have a numerator of 0
254,Believes all triangle numbers are odd
257,Uses numerator as whole part of a fraction
258,"When finding a missing number in a factor tree, multiplies by the factor given rather than dividing."
259,"Thinks that when drawing the elevation, the bottom layer does not need to be included "
266,Identifies a letter as a common factor but doesn't identify a number as a common factor
269,"When finding the distance between 2 points, believes the distance is the coordinate of the furthest point from origin"
274,Confuses angle of a sector with the radius
275,"When finding a point on a line, assumes the point is always the midpoint"
276,Adds rather than multiplies when scaling up in direct proportion problems
277,Thinks pressure is force per unit volume
286,"when subtracting a fraction from an integer, just adds their absolute value and places a negative sign in front"
288,Does not break down all factors in a factor tree to primes
291,Thinks a negative y value in a column vector means to move up rather than down
298,Confuses a constant with a variable
299,"When solving time problems, finds the difference in the hours and the difference in the minutes but then assumes the minutes will be added on to the number of hours"
301,Thinks you can multiply by a decimal to find a multiple of a number
304,Believes knowing the perimeter of squares does not give you enough information to find the perimeter of combines shapes using those squares
310,"Guesses when something is ""twice as high/much"", rather than multiplying by 2"
311,Believes gradient is the sum of y the coordinates divided by the sum of the x co-ordinates 
313,Believes edges of a 3D shape do not include edges of base
314,"When calculating the power of a negative number, thinks they can ignore the sign when multiplying and then put a negative sign back on at the end, regardless of the power "
316,Mixes up primary and secondary data types
319,"When factorising, thinks the smallest coefficient will be the numerical factor, regardless of whether it divides into all terms"
320,"When factorising into double brackets, finds the two values which sum to give the constant rather than the coefficient of x"
321,Believes class width multiplied by frequency gives frequency density
323,"When measuring a line segment with a ruler, assumes the line starts at 0"
324,Believes the two variables have to add to the same value in inverse proportion
325,Does not check the labelling of the axes 
327,Mixes up total and part in ratio
330,"When working with inverse and direct proportion, forgets to apply the root or index to find k, but remembers when doing the second calculation"
333,Not considered the y value when reading coordinates
335,Believes 30% is equivalent to 1/3
336,Does not understand that having values after the decimal point makes a number larger than a number with the same units but no decimal places
341,Believes the second term in a 2 term quadratic equation is always a coefficient and the variable
342,Uses the whole base rather than half the base when forming a right angled triangle from an isosceles triangle
343,Estimates the frequency shown on a pie chart rather than calculating
348,Writes times in the afternoon as if 10 is midday on a 24 hour clock
351,Thinks a chord does not have to start and end at the circumference of the circle.
354,Believes class width represents frequency in a histogram
356,Finds the sum of the missing angles but not the angle being asked
358,Believes digits of a number are read/written from right to left
359,Confuses random and stratified sampling methods
360,Gives frequency when asked for relative frequency
361,Believes that repeated prime factors are only counted once
365,Thinks that we cannot calculate the range if values are repeated
367,Does not know that co-interior angles must be in parallel lines
368,Thinks a kite has one pair of parallel sides
369,Forgets to add starting value when calculating new coordinates
371,"When dividing fractions, divides by the reciprocal, instead of multiplies"
385,"Thinks the reciprocal of n, 1/n = 0.n"
386,Believes that an exterior angle can have a value of 360 degrees
387,Thinks there are 100 seconds in a minute
390,Believes you find the mode by calculating the mean
394,Divides instead of multiplies when multiplying by a decimal
395,"Thinks there are 10,000kg in a tonne"
399,Confuses place value when rounding to estimate
403,"When rationalising the denominator, confuses the numerator with the denominator"
406,Believes class width multipled by frequency gives the area of the bar in a histogram
407,Does not equate y=-x with x=-y
410,Believes the size of an angle can be given as a word rather than a number
411,"When identifying the center of rotation, chooses a point with the wrong y-value"
412,Assumes that an enlargement is always from the smaller object to the bigger one
413,"Believes that n/n = n, instead of 1"
416,Believes the intersection of two complements can be found using the complement of the intersection
419,"When converting a fraction to a decimal, divides the denominator by the numerator"
420,"When finding bearings, finds the back bearing to what the question is actually asking"
425,Assumes the third column of a grouped frequency table is always cumulative frequency
428,"When a point is on an axis, gives both coordinates as the value it's at on the axis"
429,"When multiplying a surd by an integer, believes the value under the surd can be swapped with the integer"
430,"When finding bearings, finds the bearing going in the reverse direction to the one stated"
431,Finds interior angle rather than given angle
432,Believes the equation of a straight line is y=-mx-c
434,"Believes only angles on parallel lines can be called ""corresponding"""
435,Finds a scale factor but forgets to multiply the original value in proportion questions
437,Does not recognise that probabilities of all possible outcomes will sum to 1
440,Thinks n=0 for the first term in a sequence
442,Confuses cumulative frequency and frequency density
444,Confuses the value outside of a Venn diagram as the total number of entries in the diagram
448,Confuses adjacent and opposite sides
453,Believes qualitative data can be continuous
456,Believes you can divide the change by 100 to find the percentage change 
457,Does not know how to calculate volume
459,confuses circumference and area
462,Thinks that they can combine functions in a function machine before applying them to the input
465,Does not know the diagonals of a square bisect at right angles
472,Multiplies the value as if the original recipe was for 1 person
473,Underestimates the impact of the size of images in a misleading statistical diagram
475,Believes the total of a part whole model is always 1 (or equivalent) instead of the given total
476,Thinks Angle-Angle-Angle triangles are congruent
477,"Believes when multiplying fractions you cross multiply top left and bottom right for numerator, and the other diagonal for denominator"
479,Thinks a divide and a negative sign next to each other makes a plus
480,Believes that angles that look like they are a right-angle are always 90 degrees
482,"When simplifying surds, does not understand that the simplified root is what is left after dividing out the largest square number"
484,Mistakes cube root for cubing the number
485,Believes 1 is not a factor of a number
487,Believes a composite function multiplies the functions together
489,Believes speed = time/distance
490,"Believes that when constructing triangles, all sides should be measured from the same point"
494,"When comparing data, only compares one category of data rather than comparing the totals"
497,Used the digits of the decimal as the denominator
500,Finds the shaded section rather than the specified section
502,Believes multiplying a number by its square root gives the square root
504,"Given the mean and the amount of numbers, adds to find the total"
505,Believes finding the product of two numbers gives their lowest common multiple
506,Believes that multiplying variables is the same as adding them together
513,Believes they need to multiply the numbers together in a worded HCF question 
514,Believes 0.5absin(c) requires only three sides (potentially confused with cosine rule)
