,MisconceptionId,MisconceptionName,response
0,0,Does not know that angles in a triangle sum to 180 degrees,"<Construct Name>Find missing angles in an isosceles triangle </Construct Name>
<Subject Name>Angles in Triangles </Subject Name>
<Question>In an isosceles triangle, two angles are equal, and one of them is \( 70^{\circ} \). What is the size of the third angle? </Question> 
<Correct Answer>\( 40^{\circ} \) </Correct Answer>
<Incorrect Answer>Not enough information </Incorrect Answer>
"
1,1,Uses dividing fractions method for multiplying fractions,"<Construct Name>Multiply fractions in the form: Fraction × Fraction </Construct Name>  
<Subject Name>Multiplying Fractions </Subject Name>  
<Question>\( \frac{5}{8} \times \frac{3}{4}=? \) </Question>  
<Correct Answer>\( \frac{15}{32} \) </Correct Answer>  
<Incorrect Answer>\( \frac{20}{15} \) </Incorrect Answer>  
"
2,2,Believes there are 100 degrees in a full turn,"<Construct Name>Identify the number of degrees in fractions of a turn </Construct Name>  
<Subject Name>Measuring Angles </Subject Name>  
<Question>How many degrees are there in half a turn? </Question>  
<Correct Answer>\( 180\degree \) </Correct Answer>  
<Incorrect Answer>\( 50\degree \) </Incorrect Answer>  
"
3,3,"Thinks a quadratic without a non variable term, can not be factorised","<Construct Name>Factorise a single bracket containing a non-linear expression by taking out a single algebraic common factor (e.g. a) </Construct Name>
<Subject Name>Factorising into a Single Bracket </Subject Name>
<Question>Factorise this expression, if possible:
\(
x^{2}+9 x
\) </Question> 
<Correct Answer>\( x(x+9) \) </Correct Answer>
<Incorrect Answer>Does not factorise </Incorrect Answer>
"
4,4,Believes addition of terms and powers of terms are equivalent e.g. a + c = a^c,"<Construct Name>Simplify algebraic expressions involving addition of variables and constants </Construct Name>
<Subject Name>Algebraic Expressions </Subject Name>
<Question>Simplify, if possible:
\[
x + 3
\] </Question> 
<Correct Answer>Does not simplify </Correct Answer>
<Incorrect Answer>\( x^{3} \) </Incorrect Answer>
"
5,5,"When measuring a reflex angle, gives the acute or obtuse angle that sums to 360 instead","<Construct Name>Measure a reflex angle using a protractor </Construct Name>
<Subject Name>Geometry - Angles </Subject Name>
<Question>A reflex angle is measured with a protractor, and the acute angle inside it is found to be \( 110^\circ \). What is the measure of the reflex angle? </Question> 
<Correct Answer>\( 250^\circ \) </Correct Answer>
<Incorrect Answer>\( 110^\circ \) </Incorrect Answer>
"
6,6,Can identify the multiplier used to form an equivalent fraction but does not apply to the numerator,"<Construct Name>Identify equivalent fractions when presented as numbers </Construct Name>  
<Subject Name>Equivalent Fractions </Subject Name>  
<Question>Complete the statement \( \frac{3}{5}=\frac{}{20} \) </Question>  
<Correct Answer>\( \frac{3}{5}=\frac{12}{20} \) </Correct Answer>  
<Incorrect Answer>\( \frac{3}{5}=\frac{3}{20} \) </Incorrect Answer>  
"
7,7,Believes gradient = change in y,"<Construct Name>Calculate the gradient of a straight line given two points </Construct Name>  
<Subject Name>Coordinate Geometry </Subject Name>  
<Question>Find the gradient of the line passing through the points \((2, 3)\) and \((5, 11)\). </Question>  
<Correct Answer>\( \frac{8}{3} \) </Correct Answer>  
<Incorrect Answer>\( 8 \) </Incorrect Answer>  
"
8,8,Student thinks that any two angles along a straight line are equal,"<Construct Name>Find missing angles using angles on a straight line </Construct Name>
<Subject Name>Basic Angle Facts (straight line, opposite, around a point, etc) </Subject Name>
<Question>What is the size of angle \( x \) ? ![Two angles on a straight line, one is labelled 75 degrees and the other is x]() </Question> 
<Correct Answer>\( 105^{\circ} \) </Correct Answer>
<Incorrect Answer>\( 75^{\circ} \) </Incorrect Answer>
"
9,9,Thinks there are 180 degrees in a full turn,"<Construct Name>Recognise the angles around a point relationship </Construct Name>
<Subject Name>Basic Angle Facts (angles around a point, full turn, etc) </Subject Name>
<Question>![A circle with a point at the center and angles labelled a, b, c, and d degrees around it]() If \( a = 90^{\circ} \), \( b = 45^{\circ} \), and \( c = 30^{\circ} \), what is the measure of angle \( d \)? </Question> 
<Correct Answer>\( d = 195^{\circ} \) </Correct Answer>
<Incorrect Answer>\( d = 15^{\circ} \) </Incorrect Answer>
"
